id,subSite,siteCode,siteName,typeSite,numberOfPeople,penaltyRate,workDate,workingPeople,,
151,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,27/1/2025,2,,
152,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,28/1/2025,2,,
153,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,29/1/2025,2,,
154,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,30/1/2025,2,,
155,67LML0010,67LML0010,NPT - งานสวน,ชดแรงภายในวัน,2,1500,31/1/2025,2,,
156,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/1/2025,0,,
157,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/2/2025,0,,
158,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/3/2025,0,,
159,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/4/2025,6,,
160,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/5/2025,0,,
161,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/6/2025,6,,
162,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/7/2025,6,,
163,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/8/2025,6,,
164,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/9/2025,6,,
165,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/10/2025,6,,
166,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/11/2025,6,,
167,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,1/12/2025,0,,
168,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,13/1/2025,6,,
169,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,14/1/2025,6,,
170,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,15/1/2025,6,,
171,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,16/1/2025,6,,
172,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,17/1/2025,6,,
173,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,18/1/2025,6,,
174,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,19/1/2025,0,,
175,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,20/1/2025,6,,
176,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,21/1/2025,6,,
177,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,22/1/2025,6,,
178,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,23/1/2025,6,,
179,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,24/1/2025,6,,
180,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,25/1/2025,6,,
181,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,26/1/2025,0,,
182,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,27/1/2025,6,,
183,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,28/1/2025,6,,
184,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,29/1/2025,6,,
185,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,30/1/2025,6,,
186,68LML0005,68LML0005,TAAP - งานสวน (โรงงาน 2),ชดแรงภายในวัน,6,372,31/1/2025,6,,
187,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/1/2025,0,,
188,68LML0004,68LML0004,TAAP - งานสวน (โรงงาน 1),ชดแรงภายในวัน,3,370,1/2/2025,0,,
